recording,vwl_index,vowel,word_intvl,word,f1_50,f2_50,f3_50,f1_F1max,f2_F1max,f3_F1max,f1_F2max,f2_F2max,f3_F2max,vowelDur,PrecC,FolC
DCB_se1_ag2_f_02_1,3,AY1,2,i,912.6452748711621,1714.8108118625519,2374.5472818284306,1055.484000184034,1685.684625146666,2148.909097231613,411.02258761095715,2212.189898147387,2370.2773541949464,0.5499999999999998,sil,sp
DCB_se1_ag2_f_02_1,6,IH1,4,lived,545.965707553831,2124.0946099853927,2846.39239413379,610.3648658179754,2068.8305529910613,2727.7637320504614,516.4871612065303,2133.203430194938,2801.084824499678,0.08999999999999986,L,V
DCB_se1_ag2_f_02_1,9,IH1,5,in,540.7980305830055,1906.5466962326896,2773.460688950902,562.3101622483896,1910.831267321526,2657.9951311397685,521.3597671198564,1925.314253812828,2659.453192272188,0.040000000000000036,D,N
DCB_se1_ag2_f_02_1,13,IY1,7,dc,378.56346891545,2342.6216593096824,2824.794584610275,539.0486739350397,2562.0072267668434,2679.1179347549555,536.9205425032638,2605.802352086423,2662.2036199268196,0.1299999999999999,D,S
DCB_se1_ag2_f_02_1,15,IY1,7,dc,505.69037880161153,2175.5743069656164,2673.7623848344833,559.0049273659143,2219.1994258418076,2685.3009150975918,412.1072675718904,2472.84513322439,2718.8247904928267,0.16999999999999993,S,B
DCB_se1_ag2_f_02_1,17,AH1,8,but,648.6067784009666,1702.8892340162736,2297.1910211168874,764.8447551239025,1713.9759852060304,2258.5376227178213,747.7426095103385,1719.1043700366438,2274.4407409405608,0.029999999999999805,B,T
DCB_se1_ag2_f_02_1,19,AY1,9,i,831.1607382521009,1538.318381767431,2114.7638730751532,831.5815408343959,1582.0806910186773,2272.677211561616,829.6227018158414,1610.8584924755996,2396.9852342442896,0.040000000000000036,T,W
DCB_se1_ag2_f_02_1,21,AH0,10,was,747.5893991454686,1436.5794471934594,2604.1073069798795,779.3436635570223,1316.6821580037163,2583.6737464102202,734.8455507677953,1441.638977389894,2605.1176184137626,0.02999999999999936,W,Z
DCB_se1_ag2_f_02_1,25,AO1,12,born,821.5079115005755,947.9459752555698,2622.623487749178,883.6142500584375,1083.346042701903,2301.0535676324357,816.4829687646459,2381.2166418969805,3386.982116327291,0.05999999999999961,B,R
DCB_se1_ag2_f_02_1,28,IH0,13,in,712.5317804422912,1619.8694898881597,2364.394896823822,756.9226080844511,1649.7303322337752,2438.230536676167,742.0149119350634,1675.7568301582915,2395.1673035793133,0.040000000000000036,N,N
DCB_se1_ag2_f_02_1,32,IH1,14,prince,575.3029574205943,1739.3398138823047,2384.17449921752,731.9057655423386,1691.1776595871527,1947.9386611242319,691.7203601464969,1785.9692571023363,2324.578707969589,0.03000000000000025,R,N
DCB_se1_ag2_f_02_1,36,AO1,15,george,559.4908948192484,1397.1908981366244,2713.5852102725435,581.7311519755783,1369.990748612528,2986.9723148869584,582.6579263116304,1763.318205582886,3037.146598976317,0.0699999999999994,JH,R
DCB_se1_ag2_f_02_1,42,AW1,18,county,818.4424994528993,1747.8259743610438,2405.284206492524,877.3721892788618,1797.3153021705816,2349.0587256127897,818.8606279760448,1817.7157428798225,1923.8536727162627,0.040000000000000036,K,N
DCB_se1_ag2_f_02_1,44,IY0,18,county,818.0862149914254,1395.4319429754862,2170.311780865723,885.1829923607355,1418.6082325380169,2044.3906151195267,855.233265389661,1605.5887439149656,2407.7648923289726,0.03000000000000025,N,sp
DCB_se1_ag2_f_02_1,46,AH1,20,um,899.6033691314024,1477.471887825562,2301.3875797796895,1011.1757158247665,1598.8840747291063,2221.31741200586,898.3804759926043,1976.4184895936944,2294.9404035141233,0.2400000000000002,sp,M
DCB_se1_ag2_f_02_1,50,AE1,22,langston,979.0777454927534,1771.2481165650918,2502.828653766739,1059.6305622564155,1805.7339934185443,2869.811926528731,885.1620000884043,1838.1839550306852,2686.712216583848,0.07000000000000028,L,NG
DCB_se1_ag2_f_02_1,54,AH0,22,langston,560.0084809445343,1820.1779033794087,2766.9137544459268,603.1347296281472,1749.7622546971213,2670.2354959059735,525.0905178343882,1835.8920454332183,2698.956505970401,0.05000000000000071,T,N
DCB_se1_ag2_f_02_1,58,EY1,23,place,604.4923620622965,2026.2603533896906,2817.883803637969,647.8451767346606,1732.2001327354026,2406.0614250219487,609.1168857259421,2049.0643083398627,2827.210883099162,0.08999999999999986,L,S
DCB_se1_ag2_f_02_1,63,AO1,25,formerly,709.1839145432859,747.8009505827505,2267.0394275802787,942.604905749746,2247.6906241081288,2691.0453036376507,942.604905749746,2247.6906241081288,2691.0453036376507,0.05000000000000071,F,R
DCB_se1_ag2_f_02_1,66,ER0,25,formerly,357.2143933276811,1072.9923363276855,2137.146703108377,1102.8620574526587,2212.948873735445,3250.4671616524506,1054.8101206820224,2218.70900165924,3581.0170406632014,0.040000000000000924,M,L
DCB_se1_ag2_f_02_1,68,IY0,25,formerly,577.171580998934,1953.2989769099765,2541.1143497647527,605.1936032880728,1845.092291306376,2579.2341149353106,564.986083364232,2046.3661796851743,2370.9372330567758,0.11000000000000121,L,N
